PersonID     delta     theta     alpha      beta     gamma
0          1  0.000555  0.000616  0.000803  0.002876  0.002708
1          2  0.000617  0.000654  0.000774  0.003014  0.002585
2          3  0.000602  0.000653  0.000866  0.002922  0.002520
3          4  0.000549  0.000622  0.000892  0.002936  0.002569
4          5  0.000562  0.000716  0.000829  0.002821  0.002638
5          6  0.000530  0.000636  0.000862  0.002871  0.002603
6          7  0.000566  0.000681  0.000799  0.002798  0.002645
7          8  0.000581  0.000657  0.000860  0.002789  0.002518
8          9  0.000610  0.000615  0.000799  0.002978  0.002247
9         10  0.000537  0.000730  0.000918  0.002892  0.002444
10        11  0.000605  0.000633  0.000790  0.002728  0.002714
11        12  0.000604  0.000640  0.000900  0.002877  0.002486
12        13  0.000553  0.000674  0.000863  0.002938  0.002629
13        14  0.000698  0.000684  0.000850  0.002919  0.002615
14        15  0.000572  0.000656  0.000797  0.003047  0.002792
15        16  0.000657  0.000664  0.000881  0.003202  0.002435
16        17  0.000558  0.000649  0.000891  0.002886  0.002625
17        18  0.000548  0.000715  0.000829  0.003001  0.002510
18        19  0.000575  0.000736  0.000829  0.002891  0.002578
19        20  0.000518  0.000727  0.000849  0.003070  0.002612
